eng,viet
Would it be OK if I visited your office tomorrow morning?,Tôi đến văn phòng của bạn vào sáng mai có được không?
"Outside the store, a gray-haired man was playing an accordion.","Bên ngoài cửa hàng, một người đàn ông tóc hoa râm đang chơi đàn xếp."
A white-haired man was playing an accordion outside the store.,Một người đàn ông tóc trắng đang chơi đàn accordion bên ngoài cửa hàng.
The following passage is taken from a well-known fairy story.,Đoạn văn sau đây được lấy từ một câu chuyện cổ tích nổi tiếng.
It looks like it's going to be a long day today.,Có vẻ như hôm nay sẽ là một ngày dài.
I'm not in the mood to watch TV right now.,Lúc này tôi không có tâm trạng để xem TV.
Tom's kirigami stag beetle was of such fine workmanship that it looked like it would start moving at any moment.,Con bọ hươu kirigami của Tom được chế tác tinh xảo đến mức trông như thể nó sẽ bắt đầu di chuyển bất cứ lúc nào.
A person who doesn't dare to ask won't achieve anything in life.,Người không dám cầu xin sẽ không đạt được điều gì trong cuộc sống.
So you can do the same thing every day without getting tired of it?,"Vì vậy, bạn có thể làm điều tương tự mỗi ngày mà không cảm thấy mệt mỏi?"
Good neighbors are better than brothers and sisters who are far away.,Hàng xóm tốt còn hơn anh chị em ở xa.
"That isn't a literal translation, it's just plain wrong.","Đó không phải là một bản dịch theo nghĩa đen, nó hoàn toàn sai."
People will question all the good things they hear about you but believe all the bad without a second thought.,Mọi người sẽ đặt câu hỏi về tất cả những điều tốt đẹp họ nghe được về bạn nhưng lại tin vào tất cả những điều xấu mà không cần đắn đo.
I think I would like to talk with Tom about this before making a decision.,Tôi nghĩ tôi muốn nói chuyện với Tom về điều này trước khi đưa ra quyết định.
Could you be quiet? I have to get up early and go to work.,Bạn có thể im lặng được không? Tôi phải dậy sớm và đi làm.
"The first time I saw Tom, he was sitting on a bench in the park near my home.","Lần đầu tiên tôi nhìn thấy Tom, anh ấy đang ngồi trên một chiếc ghế dài ở công viên gần nhà tôi."
Tom and I have a lot more in common than I thought.,Tom và tôi có nhiều điểm chung hơn tôi nghĩ.
"Great minds discuss ideas, average minds discuss events, small minds discuss people.","Những bộ óc vĩ đại thảo luận về các ý tưởng, những bộ óc bình thường thảo luận về các sự kiện, những bộ óc nhỏ bé thảo luận về con người."
Let's sit at one of the tables near the back.,Chúng ta hãy ngồi ở một trong những cái bàn gần phía sau.
"You're still not convinced we're telling the truth, are you?",Bạn vẫn chưa tin rằng chúng tôi đang nói sự thật phải không?
"Tom is so stressed at the moment, he can't think straight.","Lúc này Tom đang rất căng thẳng, anh ấy không thể suy nghĩ sáng suốt được."
Mary was one of the most confident and successful girls in her class.,Mary là một trong những cô gái tự tin và thành công nhất trong lớp.
"I hate to tell you this, but Tom doesn't really like you.","Tôi ghét phải nói với bạn điều này, nhưng Tom không thực sự thích bạn."
"""Say something in French."" ""I don't know what to say to that."" ""Well, try saying 'I don't know what to say to that' in French.""","""Nói điều gì đó bằng tiếng Pháp."" ""Tôi không biết phải nói gì với điều đó."" ""Ồ, hãy thử nói 'Tôi không biết phải nói gì về điều đó' bằng tiếng Pháp."""
"Mary likes her coffee steaming hot, while Tom likes his lukewarm.","Mary thích cà phê nóng hổi của cô ấy, trong khi Tom thích cà phê ấm của anh ấy."
The Canadian health care system is paid for by tax revenue.,Hệ thống chăm sóc sức khỏe của Canada được thanh toán bằng doanh thu thuế.
I've never met anyone who knows as much about Australian history as Tom does.,Tôi chưa từng gặp ai biết nhiều về lịch sử nước Úc như Tom.
"""You going to Tom's party?"" ""I don't know yet.""","""Bạn có tới bữa tiệc của Tom không?"" ""Tôi vẫn chưa biết."""
Tell me why you aren't planning on going to Boston with us.,Hãy cho tôi biết lý do tại sao bạn không có kế hoạch đi Boston cùng chúng tôi.
You don't have to tell me what to do. I already know.,Bạn không cần phải bảo tôi phải làm gì. Tôi đã biết.
I'm pretty sure Tom has been telling us the truth.,Tôi khá chắc chắn Tom đã nói với chúng tôi sự thật.
This must be one of the worst jobs in the world.,Đây chắc hẳn là một trong những công việc tồi tệ nhất trên thế giới.
"In his view, the domination by English is a threat to the heritage of humanity. It poses an even worse risk: This ""single language"" will lead to a ""single thought"" obsessed with money and consumerism.","Theo quan điểm của ông, sự thống trị của người Anh là mối đe dọa đối với di sản của nhân loại. Nó còn đặt ra một nguy cơ còn tồi tệ hơn: “ngôn ngữ duy nhất” này sẽ dẫn đến một “tư duy duy nhất” bị ám ảnh bởi tiền bạc và chủ nghĩa tiêu dùng."
Smoking in a car with children is considered as tantamount to child abuse.,Hút thuốc trong xe ô tô có trẻ em được coi là hành vi ngược đãi trẻ em.
The dog crushed the captain's cigar as he walked by; the captain took no notice of it.,Con chó bóp nát điếu xì gà của thuyền trưởng khi ông ta đi ngang qua; Thuyền trưởng không để ý đến điều đó.
My life is perfect right now. I don't want anything to change.,Cuộc sống của tôi hiện tại rất hoàn hảo. Tôi không muốn bất cứ điều gì thay đổi.
The wolverine climbs trees no less skillfully than it moves on the ground.,Chó sói trèo cây khéo léo không kém gì di chuyển trên mặt đất.
"In summer it eats birds' eggs, wasps' larvae, berries and honey.","Vào mùa hè, nó ăn trứng chim, ấu trùng ong bắp cày, quả mọng và mật ong."
The ball went one way and the goalkeeper went the other.,Quả bóng đi theo một hướng và thủ môn đi theo hướng ngược lại.
This math teacher is also the coach of the basketball team.,Giáo viên toán này cũng là huấn luyện viên của đội bóng rổ.
"If you have anything to say, please give me a call.","Nếu bạn có điều gì muốn nói, hãy gọi cho tôi."
"Although the decision to implement this plan has already been made, the finer points still need to be planned out.",Mặc dù quyết định thực hiện kế hoạch này đã được đưa ra nhưng những điểm tốt hơn vẫn cần phải được lên kế hoạch.
My life hasn't been the same since I met Tom.,Cuộc sống của tôi không còn như xưa kể từ khi tôi gặp Tom.
"No matter whose money this is, I am keeping it Finders keepers","Bất kể tiền của ai, tôi sẽ giữ nó cho người tìm thấy nó"
It's been a while since we've gone swimming together.,Lâu lắm rồi chúng ta mới đi bơi cùng nhau.
They live in a white house with a brick facade on the left at the end of the street.,Họ sống trong một ngôi nhà màu trắng có mặt tiền bằng gạch ở bên trái cuối phố.
Please wait in the waiting room until the inspection results are ready.,Vui lòng đợi trong phòng chờ cho đến khi có kết quả kiểm tra.
"Mr President, it was yearning for democracy that brought down the Berlin Wall.","Thưa Tổng thống, chính sự khao khát dân chủ đã phá bỏ Bức tường Berlin."
I'm going to buy a few bottles of wine for dinner.,Tôi sẽ mua vài chai rượu để ăn tối.
"Sentences on Tatoeba are like microbes. There are useful ones, but there are also harmful ones.",Các câu trên Tatoeba giống như vi khuẩn. Có cái hữu ích nhưng cũng có cái có hại.
You probably know more about me than I know about you.,Có lẽ bạn biết về tôi nhiều hơn tôi biết về bạn.
I always thought Japan was the only country where people remove their shoes inside the house.,Tôi luôn nghĩ Nhật Bản là quốc gia duy nhất mà người ta cởi giày trong nhà.
Would you stop treating me like a child just because I suck at English?,Bạn có thể ngừng đối xử với tôi như một đứa trẻ chỉ vì tôi kém tiếng Anh không?
"Tom, what do you want to be when you grow up?","Tom, lớn lên cậu muốn làm nghề gì?"
Are you sure you don't want to go to Boston?,Bạn có chắc là bạn không muốn đến Boston không?
Are you sure you don't want to sleep on it?,Bạn có chắc là bạn không muốn ngủ trên đó không?
